#i	j	k
33	44	2
34	43	1
34	43	2
34	43	3
34	43	4
34	43	5
34	44	2
35	41	2
35	41	3
35	41	4
35	41	5
35	41	6
35	42	2
35	42	3
35	42	4
35	42	5
35	42	6
35	43	1
35	43	2
35	43	3
35	43	4
35	43	5
35	44	2
35	44	3
35	44	4
36	40	1
36	40	2
36	40	3
36	40	4
36	40	5
36	40	6
36	41	1
36	41	2
36	41	3
36	41	4
36	41	5
36	41	6
36	42	1
36	42	2
36	42	3
36	42	4
36	42	5
36	42	6
36	43	1
36	43	2
36	43	3
36	43	4
36	43	5
36	44	2
36	44	3
37	39	3
37	39	4
37	40	0
37	40	1
37	40	2
37	40	3
37	40	4
37	40	5
37	41	0
37	41	1
37	41	2
37	41	3
37	41	4
37	41	5
37	42	0
37	42	1
37	42	2
37	42	3
37	42	4
37	42	5
37	43	0
37	43	1
37	43	2
37	43	3
37	43	4
37	44	2
37	44	3
38	40	0
38	40	1
38	40	2
38	41	0
38	41	1
38	41	2
38	41	3
38	41	63
38	42	0
38	42	1
38	42	2
38	42	3
38	42	62
38	42	63
38	43	0
38	43	1
38	43	2
38	43	3
38	44	0
39	41	62
39	41	63
39	42	0
39	42	1
39	42	61
39	42	62
39	42	63
39	43	0
40	42	61
