#i	j	k
30	8	10
30	9	10
30	10	10
30	11	9
30	11	10
30	12	10
30	12	11
30	12	12
30	13	11
31	8	10
31	9	9
31	9	10
31	9	11
31	10	9
31	10	10
31	10	11
31	11	9
31	11	10
31	11	11
31	12	9
31	12	10
31	12	11
31	12	12
31	12	13
31	13	10
31	13	11
31	13	12
31	14	11
32	8	9
32	8	10
32	9	9
32	9	10
32	9	11
32	10	9
32	10	10
32	10	11
32	10	12
32	11	9
32	11	10
32	11	11
32	11	12
32	12	9
32	12	10
32	12	11
32	12	12
32	12	13
32	12	14
32	13	10
32	13	11
32	13	12
32	13	13
32	13	14
32	14	10
32	14	11
32	14	12
32	15	11
32	15	12
33	7	9
33	8	9
33	8	10
33	9	9
33	9	10
33	9	11
33	10	9
33	10	10
33	10	11
33	10	12
33	11	9
33	11	10
33	11	11
33	11	12
33	11	13
33	12	9
33	12	10
33	12	11
33	12	12
33	12	13
33	12	14
33	13	10
33	13	11
33	13	12
33	13	13
33	13	14
33	14	10
33	14	11
33	14	12
33	14	13
33	14	14
33	15	11
33	15	12
33	15	13
34	7	9
34	7	10
34	7	11
34	8	9
34	8	10
34	8	11
34	9	9
34	9	10
34	9	11
34	10	9
34	10	10
34	10	11
34	10	12
34	11	9
34	11	10
34	11	11
34	11	12
34	11	13
34	12	10
34	12	11
34	12	12
34	12	13
34	13	10
34	13	11
34	13	12
34	13	13
34	13	14
34	14	10
34	14	11
34	14	12
34	14	13
34	14	14
34	15	11
34	15	12
34	15	13
34	16	12
34	16	13
35	8	9
35	8	10
35	8	11
35	9	9
35	9	10
35	9	11
35	9	12
35	10	9
35	10	10
35	10	11
35	10	12
35	11	9
35	11	10
35	11	11
35	11	12
35	12	10
35	12	11
35	12	12
35	12	13
35	13	10
35	13	11
35	13	12
35	13	13
35	13	14
35	14	10
35	14	11
35	14	12
35	14	13
35	15	11
35	15	12
35	15	13
35	15	14
35	16	12
36	8	9
36	9	9
36	9	10
36	9	11
36	10	9
36	10	10
36	10	11
36	10	12
36	11	9
36	11	10
36	11	11
36	11	12
36	12	10
36	12	11
36	12	12
36	13	10
36	13	11
36	13	12
36	14	10
36	14	11
36	14	12
36	14	13
36	15	11
36	15	12
36	15	13
37	9	9
37	9	10
37	10	9
37	10	10
37	10	11
37	11	9
37	11	10
37	11	11
37	12	10
37	12	11
37	13	10
37	13	11
37	14	10
37	14	11
38	9	9
38	9	10
38	10	9
38	10	10
38	11	9
38	11	10
38	12	10
38	13	10
38	14	10
39	10	9
40	15	16
40	15	17
41	14	17
41	14	18
41	14	19
41	15	16
41	15	17
41	15	18
41	15	19
41	15	20
41	16	15
41	16	16
41	16	17
41	16	18
41	16	19
41	16	20
41	17	16
41	17	17
41	17	18
41	17	19
41	17	20
42	14	17
42	14	18
42	14	19
42	14	20
42	15	16
42	15	17
42	15	18
42	15	19
42	15	20
42	15	21
42	16	15
42	16	16
