#i	j	k
9	42	54
9	42	55
9	43	54
9	43	55
9	43	56
9	44	54
9	44	55
9	44	56
9	45	55
9	45	56
9	46	55
9	46	56
9	46	57
9	47	56
9	47	57
9	48	57
9	50	58
9	51	58
9	51	59
9	52	59
9	52	60
10	43	55
10	43	56
10	44	55
10	44	56
10	44	57
10	45	55
10	45	56
10	45	57
10	45	58
10	46	55
10	46	56
10	46	57
10	46	58
10	47	56
10	47	57
10	47	58
10	48	56
10	48	57
10	48	58
10	49	57
10	49	58
10	49	59
10	50	56
10	50	57
10	50	58
10	50	59
10	50	60
10	51	56
10	51	57
10	51	58
10	51	59
10	51	60
10	51	61
10	51	62
10	52	56
10	52	58
10	52	59
10	52	60
10	53	58
10	53	59
10	53	60
10	54	58
10	54	59
11	44	56
11	44	57
11	44	58
11	45	56
11	45	57
11	45	58
11	46	55
11	46	56
11	46	57
11	46	58
11	46	59
11	47	55
11	47	56
11	47	57
11	47	58
11	47	59
11	48	56
11	48	57
11	48	58
11	48	59
11	48	60
11	49	56
11	49	57
11	49	58
11	49	59
11	49	60
11	49	61
11	50	56
11	50	57
11	50	58
11	50	59
11	50	60
11	50	61
11	50	62
11	51	55
11	51	56
11	51	57
11	51	58
11	51	59
11	51	60
11	51	61
11	51	62
11	52	57
11	52	58
11	52	59
11	52	60
11	52	61
11	52	62
11	53	57
11	53	58
11	53	59
11	53	60
11	54	58
11	54	59
12	45	56
12	45	57
12	45	58
12	45	59
12	46	56
12	46	57
12	46	58
12	46	59
12	47	56
12	47	57
12	47	58
12	47	59
12	48	56
12	48	57
12	48	58
12	48	59
12	48	60
12	49	56
12	49	57
12	49	58
12	49	59
12	49	60
12	49	61
12	50	55
12	50	56
12	50	57
12	50	58
12	50	59
12	50	60
12	50	61
12	50	62
12	51	55
12	51	56
12	51	57
12	51	58
12	51	59
12	51	60
12	51	61
12	51	62
12	52	56
12	52	57
12	52	58
12	52	59
12	52	60
12	52	61
12	52	62
12	53	57
12	53	58
12	53	59
12	53	60
12	54	59
13	45	60
13	46	57
13	46	58
13	46	59
13	46	60
13	47	57
13	47	58
13	47	59
13	47	60
13	47	61
13	48	57
13	48	58
13	48	59
13	48	60
13	48	61
13	49	57
13	49	58
13	49	59
13	49	60
13	49	61
13	50	54
13	50	56
13	50	57
13	50	58
13	50	59
13	50	60
13	50	61
13	50	62
13	51	55
13	51	56
13	51	57
13	51	58
13	51	59
13	51	60
13	51	61
13	51	62
13	52	56
13	52	57
13	52	58
13	52	59
13	52	60
13	52	61
13	52	62
13	53	57
13	53	58
13	53	59
13	53	60
13	53	61
13	54	59
14	45	60
14	46	59
14	46	60
14	47	58
14	47	59
14	47	60
14	47	61
14	48	58
14	48	59
14	48	60
14	48	61
14	49	57
14	49	58
14	49	59
14	49	60
14	49	61
14	50	56
14	50	57
14	50	58
14	50	59
14	50	60
14	50	61
14	50	62
14	51	55
14	51	56
14	51	57
14	51	58
14	51	59
14	51	60
14	51	61
14	51	62
14	52	56
14	52	57
14	52	58
14	52	59
14	52	60
14	52	61
14	52	62
14	53	57
14	53	58
14	53	59
14	53	60
14	53	61
14	54	59
14	54	60
15	45	60
15	46	59
15	46	60
15	47	59
15	47	60
15	48	59
15	48	60
15	49	58
15	49	59
15	49	60
15	50	56
15	50	57
15	50	58
15	50	59
15	50	60
15	51	56
15	51	57
15	51	58
15	51	59
15	51	60
15	51	61
15	51	62
15	52	56
15	52	57
15	52	58
15	52	59
15	52	60
15	52	61
15	53	59
15	53	60
15	53	61
15	54	59
15	54	60
16	46	60
16	50	59
16	51	56
16	51	57
16	51	58
16	51	59
16	52	55
16	52	56
16	52	57
16	52	58
16	52	59
16	52	60
16	52	61
16	53	59
16	53	60
16	54	60
17	52	55
17	52	56
17	52	57
17	52	58
17	52	59
17	53	54
17	53	55
17	53	56
17	53	57
17	53	58
17	53	59
17	53	60
17	54	60
17	55	60
18	53	54
18	53	55
18	53	56
18	53	57
18	53	58
18	53	59
18	53	60
18	54	53
18	54	54
18	54	56
18	54	57
18	54	58
18	54	59
18	54	60
18	55	60
19	54	53
19	54	54
19	54	55
19	54	56
19	54	57
19	54	58
19	54	59
19	54	60
19	55	52
19	55	56
19	55	57
19	55	58
19	55	59
19	55	60
20	55	58
20	55	59
20	55	60
20	55	61
